SKU,UPC Code,Product Description,Brand Code,Brand Name,2025.04_Status,25-Apr
LFT67871,8805915678717 ,"Probiotic, Kids , 60 Sticks, (2 g) Each",LFT,Lactofit,On Sale,119
NRP46222,8806173462223 ,"Good Skin, Vitamin E Ampoule, 1.01 fl oz (30 ml)",NRP,Nature Republic,On Sale,53
HBF94948,8809617949489 ,"Butter Squid Popcorn, 80 g",HBF,HBAF,New Pending,0
APB68405,8809874684055 ,"Mandelic Acid Retinol Ampoule Serum , 1.35 fl oz (40 ml)",APB,APLB,New Pending,0
GBL25102,8806135251025 ,"PDRN Vita Toning Ampoule, 1.01 fl oz (30 ml)",GBL,Genabelle,New Seller,21
HBF94874,8809617948741 ,"Honey Butter Popcorn, 80 g",HBF,HBAF,New Pending,0
PIT10082,8809563100828 ,"Wonder Relief Centella Mini Kit, Unscented, 3 Piece Kit",PIT,Purito,NoPO,20
APB68387,8809874683874 ,"Tranexamic Acid Niacinamide Ampoule Serum , 1.35 fl oz (40 ml)",APB,APLB,New Pending,0
GWU07390,8809704073905 ,"Sea Salt Therapy Shampoo, Fresh Sea Wind, 17.63 oz (500 g)",GWU,GROWUS,New Pending,0
MUZ58051,8809836580517 ,"Fitting Blush, 01 Odd, 1 Count",MUZ,Muzigae Mansion,On Sale,12
DMX48039,8809886480393 ,"Bio-Spicule, Exfoliating Pad, 70 Pads, 5.57 fl oz (165 ml)",DMX,Dr.Melaxin,New Seller,6
DMX48134,8809886481345 ,"Exosome Repair Toner, 10.14 fl oz (300 ml)",DMX,Dr.Melaxin,On Sale,51
